"","logFC","AveExpr","t","P.Value","adj.P.Val","B"
"UFL1",1.63606937058823,8.89227893181818,16.6498740885545,2.33780810955357e-20,7.46429264433809e-20,35.9021385649668
"PRAMEF12",1.72966453529412,5.98343425,16.6495988976247,2.33925143872298e-20,7.46771072836633e-20,35.9015130231713
"LINC01490",0.958195870588235,4.10738745454545,16.6454927398415,2.36089579145883e-20,7.53560619733959e-20,35.8921783254667
"LINC00623",3.24631079411765,4.58873531818182,16.644001459735,2.36880707874935e-20,7.55965324223467e-20,35.8887877139811
"OTUD4",1.39069791176471,4.39832695454545,16.6414748970113,2.38227232752696e-20,7.60141434613253e-20,35.8830427437631
"OIP5-AS1",2.44330132941176,4.33760922727273,16.6407423467096,2.3861910125773e-20,7.61270558432051e-20,35.8813769290337
"PCDH7",1.17732181176471,4.42582231818182,16.6365002130894,2.40901337821284e-20,7.68429235547128e-20,35.8717292743618
"RAB11FIP4",7.34331698823529,7.08913440909091,16.6325639695941,2.43038916572819e-20,7.75124275877521e-20,35.8627756568036
"PRR13",1.74098802352941,4.25537277272727,16.632453646758,2.43099105309315e-20,7.75192817185003e-20,35.862524687168
"MAGI2-AS3",3.66407629411765,5.0288735,16.6281921261244,2.45435731058584e-20,7.8251926859232e-20,35.8528293550852
"ATL2",1.81513379411765,4.94029338636364,16.6264333197514,2.46406763743066e-20,7.85490180028819e-20,35.8488273796552
"LOC100132356",1.03710565294118,4.27975879545455,16.6260404149055,2.46624220362774e-20,7.8605829471871e-20,35.8479333238896
"UBAC1",1.59068304117647,4.56855279545455,16.6233625215739,2.48111545512403e-20,7.90673000271151e-20,35.8418393549864
"SLC25A39",2.03899378823529,7.48357015909091,16.6171443056121,2.51600577843766e-20,8.01664192041724e-20,35.8276860157936
"NAT8",3.61034785882353,6.10414404545454,16.6155416189969,2.52507925848464e-20,8.04427285400195e-20,35.8240374896061
"HAGLROS",1.69037688823529,5.11912475,16.6148889037043,2.52878410878813e-20,8.05479460442739e-20,35.8225515043837
"KMT5A",2.27793622941176,6.37457556818182,16.6092858551835,2.56081625799565e-20,8.15552802546406e-20,35.8097937075752
"LOC105371622",1.16482889411765,3.89534238636364,16.6088221789469,2.56348552311862e-20,8.16273120316519e-20,35.808737802443
"KIAA0232",2.34996851764706,5.82311231818182,16.6044308815521,2.58890620579129e-20,8.24115656418027e-20,35.7987366523728
"ITM2A",1.38906443529412,3.79940779545454,16.6044254833965,2.58893761273894e-20,8.24115656418027e-20,35.7987243569042
"TMEM63A",1.23184705882353,3.85417459090909,16.6021261773847,2.60235057026195e-20,8.28253680068118e-20,35.793486920176
"SLC26A3",2.6960612,9.51563090909091,16.6009793907412,2.6090667925562e-20,8.30259348506527e-20,35.7908745300891
"AXDND1",1.19660678235294,4.26980759090909,16.5988226569201,2.62174574932919e-20,8.34161544640445e-20,35.7859611093295
"PSG5",6.28793726470588,7.30995586363636,16.5980561653601,2.62626690009587e-20,8.35419252169373e-20,35.7842147922269
"HOXD9",1.69313081764706,3.98696086363636,16.5980111326596,2.62653277264512e-20,8.35419252169373e-20,35.784112191229
"SLC7A6",3.77218435882353,6.37825088636364,16.5959318536558,2.63883875102945e-20,8.39200156542658e-20,35.7793746069991
"LRFN2",1.56361621176471,4.22831597727273,16.5914428939007,2.66560703409626e-20,8.47578414397083e-20,35.7691451275805
"KIFBP",2.97098265882353,10.0378501136364,16.5855759658164,2.70101030781022e-20,8.58699230059584e-20,35.7557724325562
"PGM2L1",2.54622675294117,9.47739379545454,16.5851910628821,2.70334965173451e-20,8.59306572890285e-20,35.7548949873932
"CPA3",1.39809283529412,5.04047404545455,16.5788160454131,2.74239732863159e-20,8.71580252056925e-20,35.740359966496
"GYG2",3.7092616117647,5.36723377272727,16.5775060796478,2.75049198469144e-20,8.74014204272507e-20,35.7373727361438
"RPP21",1.64393191764706,6.52783347727273,16.575424058058,2.76340756492849e-20,8.77979069637548e-20,35.7326245594107
"TMEM135",4.49804185294118,6.96431629545455,16.5728186505955,2.77965707240204e-20,8.83001751892763e-20,35.7266821476989
"GRINA",1.16242493529412,5.51505872727273,16.5680247535536,2.80981088188147e-20,8.92439061136035e-20,35.7157464242421
"KCNA2",1.46018005882353,3.16124788636364,16.5673690205317,2.81396132527219e-20,8.93615619338182e-20,35.7142503997493
"LINC02610",1.12419683529412,3.84709263636364,16.5671683741743,2.81523255938636e-20,8.93877613403512e-20,35.7137926256346
"SPRYD3",1.8165647,4.24361577272727,16.564976218341,2.82915960077648e-20,8.98157291961243e-20,35.708790960931
"BCL7A",1.69833977058823,4.678003,16.5605937796794,2.85721278712253e-20,9.06919450984606e-20,35.6987904372174
"LOC105378577",1.35307841764706,3.08604963636363,16.5580456124819,2.87365455573564e-20,9.11993790565531e-20,35.6929747368877
"PTRH1",2.50460850588235,5.11711186363636,16.5572583131589,2.87875400317512e-20,9.13467451157991e-20,35.691177744154
"SPRTN",1.53557845294118,6.32046502272727,16.5477307007198,2.9412022588041e-20,9.33135312771044e-20,35.6694261765751
"RNF122",1.66801947647059,2.92644631818182,16.5471556798776,2.94501511561196e-20,9.34197035565142e-20,35.6681131060832
"C17orf58",1.38743485294118,4.06025022727273,16.5460762553227,2.95218619738493e-20,9.36323526061033e-20,35.6656481295141
"MTFR1L",2.13013326470588,4.60016740909091,16.5440792883571,2.96549988636655e-20,9.40397241153945e-20,35.6610875374999
"DEXI",1.4581934117647,3.06643845454545,16.5426029521278,2.97538190457565e-20,9.43381613049374e-20,35.6577156792461
"MIDEAS",2.75137306470588,6.45665038636364,16.5413638308417,2.98370201538452e-20,9.45855559779546e-20,35.6548854332177
"RPS23",3.32055423529412,7.72336434090909,16.5413003403067,2.98412896256327e-20,9.45855559779546e-20,35.6547404118507
"UBP1",1.85715445294118,7.85725738636364,16.5375904530633,3.00918487796391e-20,9.53646440047035e-20,35.6462657901188
"TSC22D2",1.07857117058824,3.92247984090909,16.5288043346359,3.06938396570721e-20,9.72570382806814e-20,35.6261897573182
"MYO19",2.46035744117647,9.30868915909091,16.5261835645426,3.08757720060851e-20,9.78180396688119e-20,35.6201998453475
"ZBTB4",2.47668017647059,6.20127727272727,16.5241893754983,3.10149438933077e-20,9.8243414938447e-20,35.6156415483123
"AHSA1",3.50413766470588,4.20570447727273,16.5198168423264,3.13223407158395e-20,9.92014433548929e-20,35.6056454345171
"ZBTB22",1.45971746470588,3.71523838636364,16.5153035638536,3.16428915469384e-20,1.00200822552683e-19,35.5953255118571
"CCDC112",2.30535002352941,7.56233559090909,16.5137353190349,3.17550559536776e-20,1.00540110773521e-19,35.5917391244939
"BBS4",1.40199618235294,3.75811584090909,16.5038517664756,3.24713407121456e-20,1.02791703088764e-19,35.5691308421152
"CARNS1",1.39271992352941,3.33903459090909,16.5003116377777,3.27318916437775e-20,1.03600134840915e-19,35.5610304909199
"SHROOM2",2.71822718235294,5.52839656818182,16.5001624922185,3.27429153329765e-20,1.03618654020566e-19,35.5606891951226
"HHIPL2",1.07513645294118,4.92386977272727,16.4976574361282,3.29286365979344e-20,1.04189930236901e-19,35.5549564341151
"LYRM7",1.24976485294118,4.01210409090909,16.4972658429795,3.29577656864861e-20,1.04265628905826e-19,35.5540602245187
"ANGEL1",1.52913618823529,6.06529306818182,16.490719455641,3.34486360674154e-20,1.05801843944807e-19,35.5390756792266
"FIG4",2.14175236470588,6.03962040909091,16.4901680771556,3.34903192020586e-20,1.05916967833224e-19,35.5378133849768
"GARIN6",1.03301987058823,6.43726254545455,16.4882193398288,3.36380648303138e-20,1.06367437202975e-19,35.5333518082179
"VIRMA",1.63197594705882,3.93993434090909,16.4875318178274,3.36903485184987e-20,1.06515950366566e-19,35.5317776540422
"RSL1D1",1.61589637058823,5.40284072727273,16.4863723842235,3.37787072435612e-20,1.06771510451829e-19,35.5291228988168
"GHITM",1.36744185294118,3.86130154545455,16.4863313239268,3.37818407170372e-20,1.06771510451829e-19,35.529028880528
"PKN1",2.52081085882353,6.90814406818182,16.4849244523507,3.38893839026477e-20,1.07094516223038e-19,35.5258073757805
"EID1",1.35026795882353,3.79223136363636,16.4848156019331,3.38977191135484e-20,1.07103960454669e-19,35.5255581177612
"USP37",1.35196722352941,3.34973338636364,16.4815662345031,3.41475041380175e-20,1.07876171407154e-19,35.5181167892574
"LINC00504",1.17821634117647,5.21439695454546,16.4809532165885,3.41948380251562e-20,1.08008671605161e-19,35.5167128046986
"DUSP5P1",1.31958213529412,3.50365234090909,16.4760163775628,3.45784810545412e-20,1.09203237030517e-19,35.5054046423347
"USP31",1.98134355882353,3.69662131818182,16.474593331478,3.46898791702402e-20,1.09537777354705e-19,35.5021445957478
"RNF220",3.45230238235294,6.06459940909091,16.4723450480794,3.48666244009787e-20,1.10078521670671e-19,35.496993595666
"ANKRD23",1.13681759411765,3.76669184090909,16.4719861141116,3.48949263087e-20,1.10150514310728e-19,35.4961712008032
"LINC02035",1.80349000588235,3.59283179545454,16.470558303313,3.50077411814534e-20,1.10489218740645e-19,35.4928996486518
"CDC14C",1.36994751176471,3.48519213636364,16.4678846221131,3.52199966851112e-20,1.1114161524829e-19,35.4867728634987
"RNF115",1.51757309411765,5.33925836363637,16.4675447847164,3.52470691908227e-20,1.11209527489457e-19,35.4859940679295
"ARMC9",2.40192962352941,9.85399277272727,16.4575563763323,3.60523264904082e-20,1.13732315630844e-19,35.4630986306877
"METTL1",0.976192688235293,4.031247,16.4573543757452,3.60688037389316e-20,1.13766379546257e-19,35.4626354992195
"LINC02481",1.72187012941176,4.11072570454546,16.4545388267743,3.62992700018899e-20,1.14475279703693e-19,35.4561797884239
"TRPA1",1.48272668823529,3.67361072727273,16.4506327905676,3.66214869273287e-20,1.15473260841846e-19,35.4472223761681
"DLK2",0.97318124117647,5.46090040909091,16.4491264128766,3.67465290468294e-20,1.15849302780309e-19,35.443767497734
"NUP153-AS1",1.24826448235294,3.65507584090909,16.4468808382181,3.69337395262964e-20,1.1642119121806e-19,35.438616838035
"LINC01260",1.41631934117647,4.8974375,16.4440503535664,3.71710994447202e-20,1.17150954071214e-19,35.4321238366309
"PLA2G10",1.13562885294118,4.06302311363636,16.4420474370466,3.73400001000492e-20,1.17664760422241e-19,35.4275287413768
"OGG1",2.02168955294118,8.53913925,16.4416253152277,3.73756962465761e-20,1.17757701305546e-19,35.4265602560588
"TARBP1",1.97237621176471,7.52619259090909,16.4415596634003,3.73812511282931e-20,1.17757701305546e-19,35.4264096276805
"STXBP2",7.14530562352941,7.14011815909091,16.4380045411461,3.76833149030915e-20,1.18690591845712e-19,35.4182522660396
"LRRN4",1.47134784117647,3.24227993181818,16.4304172583304,3.83363261994363e-20,1.20728389628535e-19,35.4008386179175
"HTR1B",3.39441618235294,10.16532575,16.4262142459439,3.87030198273019e-20,1.21864019676283e-19,35.3911896961846
"CTBS",1.37452303529412,3.55539729545455,16.4210477453915,3.9158678313061e-20,1.23279371989194e-19,35.3793263912551
"RND3",1.55110088235294,5.30029325,16.4195828353615,3.92888684777674e-20,1.23669800965845e-19,35.3759621692557
"DLG1-AS1",1.17921553529412,3.57500715909091,16.4167877684453,3.9538498762557e-20,1.24436010559551e-19,35.3695425787084
"ESAM-AS1",2.57991621764706,9.91433031818182,16.4158431225036,3.96232312328544e-20,1.24683092688743e-19,35.3673727744899
"MTFR2",1.30836832352941,2.98128277272727,16.4155142167782,3.96527767236674e-20,1.24756466676379e-19,35.3666172730356
"ABRAXAS2",4.32147164705882,5.68840038636364,16.4136452001593,3.98210969072146e-20,1.25266365145308e-19,35.3623239021271
"GPC4",3.37243744705882,6.90287338636363,16.4130380560658,3.98759318139316e-20,1.25419165661278e-19,35.3609291369311
"LOC101927164",1.18483810588235,4.43312220454545,16.4098082753162,4.01689300338724e-20,1.26320880131638e-19,35.3535088673137
"CCDC13",1.36379808823529,4.23604686363637,16.4073351226032,4.039477210487e-20,1.27011155988817e-19,35.3478261893569
"ZNF26",1.49393170588235,6.05347909090909,16.4068625839095,4.04380702550525e-20,1.2712734201965e-19,35.346740343602
"IFNL2",1.10188160588235,3.88004690909091,16.4067012034314,4.04528681916434e-20,1.27153907989173e-19,35.346369502447
"NR2C2AP",1.27388848235294,3.65014011363636,16.4060021356754,4.05170336675801e-20,1.27335616320829e-19,35.3447630622313
"GARS1-DT",2.25720180588235,4.42872547727273,16.4054457330415,4.05681784764896e-20,1.27476353135849e-19,35.3434844269446
"BAGE2",1.69365962941176,3.43659975,16.4035622921912,4.0741794398317e-20,1.28001823304123e-19,35.3391559687587
"CMTM1",2.43976353529412,4.43795386363636,16.4015112090244,4.09317255795291e-20,1.2857837961567e-19,35.3344418254222
"FOXC1",1.00065021176471,3.09173793181818,16.3979930331886,4.12596152566008e-20,1.29588054691161e-19,35.3263547548869
"ATG10",1.01858254705882,3.26783277272727,16.3976520119856,4.12915400673117e-20,1.29667993514405e-19,35.3255707972156
"OLFML1",1.50806714705882,4.65374004545455,16.3927386846778,4.17543086132975e-20,1.3110067557078e-19,35.3142744496301
"PI3",2.26248731764706,6.56847811363636,16.3869497102278,4.23063434804669e-20,1.32813144115454e-19,35.3009616893753
"PHOSPHO2",2.26379734705882,3.39053447727273,16.3805272294691,4.29275040433953e-20,1.34742049670526e-19,35.2861880288996
"EEPD1",2.72617348235294,9.76001115909091,16.3801230967599,4.29668999986724e-20,1.34844577905907e-19,35.2852582584591
"LOC105372762",1.46511471176471,2.90653443181818,16.3780945231228,4.31652085544694e-20,1.35445717068159e-19,35.2805909534319
"FAM223B",1.13519531176471,3.82485354545455,16.3744968563384,4.35192062379678e-20,1.36535119711663e-19,35.2723124639662
"MIAT",2.32796043529412,8.16165204545455,16.370437620721,4.39221767561913e-20,1.37777802189168e-19,35.2629702685289
"SCGB3A1",1.47416119411765,4.13806331818182,16.3691348134998,4.40523146083401e-20,1.38164391143615e-19,35.2599715407993
"ELAC2",3.36784640588235,6.34959843181818,16.3668966108296,4.42768080908278e-20,1.38846746974869e-19,35.2548193640167
"OR1F2P",3.44241485294118,5.58191143181818,16.3635997186857,4.46096156117924e-20,1.39868495842139e-19,35.2472292208571
"PYGO2",2.74414678235294,4.01630070454546,16.3632489931312,4.46451696748202e-20,1.39958065559624e-19,35.246421710416
"LY6S-AS1",1.03253277058824,3.49391704545455,16.3603282488408,4.49423784605618e-20,1.4086773984071e-19,35.2396964962205
"SPATA17",1.28573958235294,5.39813659090909,16.3582699842316,4.51530342521844e-20,1.41505879558786e-19,35.2349566716893
"CYP26B1",1.92360618823529,3.94901529545454,16.3550284393161,4.54868378759191e-20,1.42529694404882e-19,35.2274910719697
"RBM11",2.57979991176471,5.80538045454545,16.3535552798232,4.56393695527708e-20,1.42973403876145e-19,35.2240978807844
"LONRF1",1.64467511176471,6.68955388636364,16.3535230010943,4.56427175413311e-20,1.42973403876145e-19,35.2240235292999
"CLBA1",1.96119722352941,4.27782859090909,16.3494496534787,4.6067226228356e-20,1.4428059346567e-19,35.2146400333448
"COX7B2",1.9696979,4.66332036363636,16.3472490489936,4.62982375750376e-20,1.44981443661584e-19,35.209569936168
"MCUR1",1.27764147058823,4.50673763636364,16.3438467126298,4.6657729623586e-20,1.46084345079661e-19,35.2017301160316
"ZNRF4",1.88984230588235,3.604755,16.3420047646025,4.68535367339317e-20,1.46674487865935e-19,35.1974853154127
"PDE8A",1.52542244117647,4.48426872727273,16.337592602691,4.73259833037951e-20,1.48130327740879e-19,35.1873159869222
"KCNK4",1.86453488235294,3.28244079545455,16.3359739743177,4.75005186134568e-20,1.48653396166969e-19,35.1835848024471
"GIPR",1.24103994117647,5.66517554545454,16.3349522153674,4.7611031783091e-20,1.48975974489047e-19,35.1812293532524
"ACTN2",1.17047195294118,4.30078756818182,16.3335107035785,4.77673913128768e-20,1.49441883926214e-19,35.1779060690549
"BPESC1",2.91967662941176,8.49599352272727,16.3312421312919,4.80145225028797e-20,1.50191585692955e-19,35.1726756312115
"MPP1",2.01260907058824,5.23843090909091,16.3268906676116,4.84922123818397e-20,1.51662138709292e-19,35.1626413729609
"C2CD5",1.14928647058824,4.84576136363636,16.3257565395409,4.86175075635173e-20,1.52030270295407e-19,35.1600258083681
"FNDC4",2.96515697058823,6.69674886363636,16.3223472444864,4.89961478938074e-20,1.53190390917551e-19,35.1521623751593
"TMEM218",2.53563984705882,5.64303731818182,16.3213299614547,4.91097099822705e-20,1.5352149038153e-19,35.149815810419
"RHPN1-AS1",2.39549288823529,4.89034434090909,16.3200323010299,4.92549609954244e-20,1.53951533571593e-19,35.1468223442467
"MYO15A",1.47949821764706,5.62588481818182,16.3187074493538,4.94037075467017e-20,1.54392366548444e-19,35.1437659729944
"IPO11",1.60203402941176,5.30418465909091,16.3183449245228,4.9444489458551e-20,1.54495712499406e-19,35.1429296133942
"RYR3",3.1738092,12.1870851818182,16.3182682293246,4.94531216155462e-20,1.54498585808269e-19,35.1427526726943
"STAC",1.72895645294118,3.26340306818182,16.3147958974541,4.98455516163148e-20,1.55700310303761e-19,35.1347411443222
"CALB2",1.37296238235294,4.79743311363637,16.3102153811829,5.03680864509117e-20,1.57307999342791e-19,35.1241708507624
"ATP2A2",2.00648130588235,6.44312852272727,16.3068997189678,5.07498116197527e-20,1.58475483455477e-19,35.116518059863
"RNF150",1.74793865294117,7.15514990909091,16.301912100338,5.13295897210054e-20,1.60260963418201e-19,35.1050041260499
"FKBP9",1.71730692352941,3.65341461363636,16.3009045134507,5.14475326960722e-20,1.60604172505488e-19,35.1026777954768
"L3HYPDH",1.29360573529412,5.82230654545455,16.2988594009495,5.16877734693051e-20,1.61328993165646e-19,35.09795568787
"YIPF6",1.12312706470588,5.25965602272727,16.2965969070837,5.19548832141887e-20,1.62137438938562e-19,35.0927311476839
"MB21D2",2.04438017058823,6.24226293181818,16.2939302803441,5.2271512590541e-20,1.63100146450735e-19,35.0865727044699
"EPN2-AS1",1.29404953529412,3.72888452272727,16.2938211208855,5.22845157828235e-20,1.63115312281813e-19,35.0863205903655
"MYL2",4.03540198235294,5.68052206818182,16.291931192142,5.25101697429594e-20,1.6379379014185e-19,35.0819554251282
"ZC3HC1",2.12215689411765,7.00502409090909,16.2888444040748,5.28808640707843e-20,1.64924407452273e-19,35.0748250794133
"OR1E2",1.60864055294118,3.58855477272727,16.2827107953041,5.3625391814603e-20,1.67220399880157e-19,35.0606537778485
"DDX31",1.46320137058824,3.18759095454545,16.2805016042368,5.38961650141037e-20,1.68038595729576e-19,35.0555486304107
"TMEM45B",1.71448447058823,3.80399547727273,16.2792689096395,5.40478578248483e-20,1.68485323365603e-19,35.0526998166147
"TMOD3",2.00681472941176,7.78578252272727,16.2722718867174,5.49171832462758e-20,1.71168665752201e-19,35.0365263870822
"DNASE1L2",-1.65296792941176,4.50171090909091,-16.271849021293,5.4970175579729e-20,1.71307180649212e-19,35.0355487822113
"UBTD2",2.4089871117647,8.3081685,16.2704747018931,5.51427618683554e-20,1.71818293007761e-19,35.0323714225003
"MCHR2-AS1",1.39038340588235,5.21224863636364,16.2695789221876,5.52555507188528e-20,1.72142953654753e-19,35.0303003177455
"ADORA3",2.68214357058823,8.80408536363636,16.265625849693,5.57561038401098e-20,1.73675364970468e-19,35.021159544889
"SERTAD4",1.25967901176471,5.33282143181818,16.2607498461114,5.63798962973779e-20,1.75591119811734e-19,35.0098824231171
"CSTF2",1.08248387058823,4.25302484090909,16.2582513903855,5.67022790455368e-20,1.76567706177552e-19,35.0041030884472
"MELTF",3.9234976117647,7.311868,16.2537739495097,5.7284725962693e-20,1.78353688294166e-19,34.9937444160773
"KRTAP2-3",2.98366427647059,11.8639899772727,16.2532829090378,5.73489729470766e-20,1.78525971418157e-19,34.9926082547688
"RPS4Y1",1.77227459411765,3.53646613636364,16.2501445433773,5.77613308742532e-20,1.79781693609857e-19,34.9853461642279
"CEP170",1.43063998823529,2.98903870454545,16.2430549642899,5.87040135568611e-20,1.82687400896542e-19,34.9689373060849
"PIP4K2C",1.16848368823529,3.89478215909091,16.2425602714853,5.87703741535876e-20,1.82865507152014e-19,34.9677921425687
"PRPF40B",1.53337488235294,3.87805261363636,16.228757005811,6.06531836518469e-20,1.88694607068457e-19,34.9358287187089
"SPATA42",2.4136343117647,5.36527452272727,16.2271147594551,6.08812481962268e-20,1.89374714886151e-19,34.9320245436753
"MRPS9",1.65177542941176,5.15422640909091,16.2214435616393,6.16755726694633e-20,1.91815722980079e-19,34.9188853604696
"PRKACA",1.97179651176471,8.76247543181818,16.2173633493885,6.2253588410221e-20,1.93583341048362e-19,34.9094301430871
"LINC01535",1.32850772941176,3.25153909090909,16.2151440121759,6.25703028629436e-20,1.94537995801721e-19,34.9042864676536
"MCTS1",2.46313874117647,4.14093111363636,16.2135627406913,6.27969628598065e-20,1.95212408443148e-19,34.9006213003292
"AKR1D1",3.70014442352941,4.23862852272727,16.213017759908,6.28752744267062e-20,1.95425523245272e-19,34.8993580503068
"CTXN3",1.37464541176471,3.80108890909091,16.2124460824026,6.29575292186678e-20,1.95650826141538e-19,34.8980328847722
"SLN",1.3847276,4.65925143181818,16.2123318787385,6.29739743515683e-20,1.956715765799e-19,34.8977681531852
"TMEM106A",1.55032028823529,4.87429640909091,16.2118653772917,6.3041195262328e-20,1.95850065678498e-19,34.8966867581044
"NKX2-8",4.69461555294118,8.40430729545455,16.211345221753,6.31162337739331e-20,1.96052782595663e-19,34.8954809609478
"LOC101927143",0.929293270588235,4.01958929545454,16.2080649613953,6.35915523040396e-20,1.97498600892174e-19,34.8878761845183
"HOXC12",2.365634,14.1278311363636,16.2075950377582,6.36599437492549e-20,1.97680358577751e-19,34.8867866473682
"CFAP276",1.46209271764706,4.32720554545455,16.2074850780109,6.36759578248221e-20,1.97699440041357e-19,34.8865316978781
"ANXA2P2",4.81568132352941,5.31695009090909,16.2054896554488,6.39672774076408e-20,1.98573144433575e-19,34.8819049498182
"PPP1R15B",1.66455675882353,5.98470429545455,16.2030921852208,6.4319091412515e-20,1.99634341365897e-19,34.8763454324429
"ZNF22-AS1",1.534688,5.22980422727273,16.2023494154612,6.44284881077764e-20,1.99942908408207e-19,34.8746228946945
"BMX",6.42507685882353,9.39804184090909,16.2018961875323,6.44953336498607e-20,2.00119350011464e-19,34.8735717974986
"RBFOX2",1.1596262117647,3.44269372727273,16.200802729228,6.46568965380347e-20,2.00589585171118e-19,34.8710358308084
"MIER1",1.57330900588235,3.37104572727273,16.2001930838742,6.47471532128609e-20,2.00838490733978e-19,34.8696218770133
"PIP4P1",1.77880407058824,3.86156309090909,16.1996925552433,6.48213514156824e-20,2.01037515336577e-19,34.8684609692484
"HOXA7",3.81025528823529,6.612094,16.1966387703644,6.5275925335871e-20,2.0241599633563e-19,34.8613775663692
"PPWD1",3.69320475882353,5.90254265909091,16.1937304124001,6.57118733816507e-20,2.03736302055599e-19,34.8546305837492
"ARHGEF7-IT1",0.9324883,3.78878375,16.1894034061646,6.63659700937147e-20,2.05732453252444e-19,34.8445909025482
"STMN2",-2.12542722941176,4.33368075,-16.1851038201346,6.70224982856812e-20,2.07735523078874e-19,34.8346129069585
"LOC101928045",1.54535077647059,4.14150861363636,16.1849433023547,6.70471364824859e-20,2.07779739792258e-19,34.8342403579806
"ADGRE3",1.91660607647059,6.55121254545455,16.1837376119033,6.72324957637658e-20,2.08321942016977e-19,34.8314419605109
"CMTM8",2.11872561764706,10.0498688409091,16.1818132280888,6.75294279667478e-20,2.09206039741268e-19,34.8269751672628
"ITGA1",1.09539683529412,4.39161356818182,16.1817532048854,6.75387110127187e-20,2.09206039741268e-19,34.8268358378806
"ARHGEF15",1.09169114117647,4.38938275,16.1793686421084,6.79085563375277e-20,2.10319140468979e-19,34.8213003464351
"MMP11",3.62147727647059,5.57959852272727,16.1786344041034,6.80228518367143e-20,2.10640557735826e-19,34.8195957767787
"SAG",1.45968088235294,4.00706740909091,16.1753231123561,6.85407474650961e-20,2.12211476541083e-19,34.8119077504013
"SNHG7",1.32815552352941,3.23528304545454,16.1747949218205,6.86237290077353e-20,2.12435564747791e-19,34.8106813125506
"PSMD9",3.098215,5.80396995454545,16.1733062842238,6.88581534834583e-20,2.1312832672754e-19,34.8072245971917
"PPHLN1",3.07764165882353,6.11371079545455,16.1728106319003,6.89363878096706e-20,2.13337512838455e-19,34.8060736081989
"CNIH4",2.26398212941176,7.05624815909091,16.1676186294133,6.97613666196028e-20,2.15857228316942e-19,34.7940153524162
"SNHG11",1.76043127058823,3.10403990909091,16.1535517040551,7.20474703377935e-20,2.22896513638097e-19,34.761331217418
"NPHS1",1.35574834117647,4.14889490909091,16.1495894432622,7.27050871745639e-20,2.24896279536884e-19,34.7521212715538
"LINC03133",5.38836503529411,10.0439926363636,16.145328489605,7.34191101359555e-20,2.27069880229035e-19,34.7422152056062
