"source","target","relation","logFC","p.adjust"
"IREB2","GO:0006091","enriched_in_go",1.13041049411765,8.41408233956214e-05
"RPE","GO:0006091","enriched_in_go",1.38885804705882,8.41408233956214e-05
"COQ10B","GO:0006091","enriched_in_go",1.67207461764706,8.41408233956214e-05
"THAP11","GO:0006091","enriched_in_go",2.39285719411764,8.41408233956214e-05
"UQCRFS1","GO:0006091","enriched_in_go",3.1419723,8.41408233956214e-05
"ATP7A","GO:0006091","enriched_in_go",1.89263148235294,8.41408233956214e-05
"ALDH1L2","GO:0006091","enriched_in_go",1.22287038823529,8.41408233956214e-05
"SIRT3","GO:0006091","enriched_in_go",1.37364524117647,8.41408233956214e-05
"NDUFB6","GO:0006091","enriched_in_go",1.57509871764706,8.41408233956214e-05
"FECH","GO:0006091","enriched_in_go",4.683674,8.41408233956214e-05
"COX7A2P2","GO:0006091","enriched_in_go",1.80832614705882,8.41408233956214e-05
"PPP1R3F","GO:0006091","enriched_in_go",1.81284812941176,8.41408233956214e-05
"POR","GO:0006091","enriched_in_go",1.86203582352941,8.41408233956214e-05
"BID","GO:0006091","enriched_in_go",1.37567635882353,8.41408233956214e-05
"AGL","GO:0006091","enriched_in_go",7.29135101764706,8.41408233956214e-05
"FOXK2","GO:0006091","enriched_in_go",1.54669406470588,8.41408233956214e-05
"JMJD8","GO:0006091","enriched_in_go",1.5401576,8.41408233956214e-05
"COX5A","GO:0006091","enriched_in_go",1.97682426470588,8.41408233956214e-05
"AFG1L","GO:0006091","enriched_in_go",1.32020389411765,8.41408233956214e-05
"PCDH12","GO:0006091","enriched_in_go",1.58068799411765,8.41408233956214e-05
"MC4R","GO:0006091","enriched_in_go",2.20077982941176,8.41408233956214e-05
"ATG2A","GO:0006091","enriched_in_go",1.57353512352941,8.41408233956214e-05
"PYGL","GO:0006091","enriched_in_go",1.67617128823529,8.41408233956214e-05
"GNMT","GO:0006091","enriched_in_go",1.38344792941176,8.41408233956214e-05
"ZBTB7A","GO:0006091","enriched_in_go",1.70563972941176,8.41408233956214e-05
"PKLR","GO:0006091","enriched_in_go",1.5699646,8.41408233956214e-05
"POMC","GO:0006091","enriched_in_go",1.42288856470588,8.41408233956214e-05
"OGDH","GO:0006091","enriched_in_go",1.48068331764706,8.41408233956214e-05
"ACOX1","GO:0006091","enriched_in_go",1.3164348,8.41408233956214e-05
"IDH3A","GO:0006091","enriched_in_go",2.77801740588235,8.41408233956214e-05
"ATP5F1E","GO:0006091","enriched_in_go",2.21785061176471,8.41408233956214e-05
"GABARAPL1","GO:0006091","enriched_in_go",1.25742629411765,8.41408233956214e-05
"NDUFB11","GO:0006091","enriched_in_go",1.46446345294118,8.41408233956214e-05
"PKM","GO:0006091","enriched_in_go",2.15219272941176,8.41408233956214e-05
"HMGCLL1","GO:0006091","enriched_in_go",1.73502872352941,8.41408233956214e-05
"TRPV4","GO:0006091","enriched_in_go",3.00751977647059,8.41408233956214e-05
"PLEC","GO:0006091","enriched_in_go",4.64587666470588,8.41408233956214e-05
"CYP1A2","GO:0006091","enriched_in_go",1.97126707058823,8.41408233956214e-05
"PPP1CA","GO:0006091","enriched_in_go",1.75267715294118,8.41408233956214e-05
"NDUFB4","GO:0006091","enriched_in_go",1.93605523529412,8.41408233956214e-05
